Courses,Duration,Effort,Prerequisites,Discussion
Cybersecurity Fundamentals,8 weeks,10-12 hours/week,-,chat
Principles of Secure Coding,4 weeks,4 hours/week,-,chat
Identifying Security Vulnerabilities,4 weeks,4 hours/week,-,chat
