Courses,Duration,Effort,Prerequisites,Discussion
"Ethics, Technology and Engineering",9 weeks,2 hours/week,none,chat
Introduction to  Intellectual Property,4 weeks,2 hours/week,none,chat
Data Privacy Fundamentals,3 weeks,3 hours/week,none,chat
